央视频道,#genre#  2026年4月28日 10:52:01
辽宁体育,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221227334/index.m3u8
辽宁生活,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227560/index.m3u8?servicetype=1
辽宁北方,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227551/index.m3u8?servicetype=1
辽宁移动,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221227328/index.m3u8
辽宁影视剧,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227651/index.m3u8?servicetype=1
辽宁教育青少,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227655/index.m3u8?servicetype=1
精品,#genre#
北京纪实科教高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226730/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227294/index.m3u8
家庭理财高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226754/index.m3u8
金鹰纪实高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226714/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227291/index.m3u8
金鹰卡通高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226845/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227300/index.m3u8
睛彩广场舞高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227423/index.m3u8
睛彩竞技高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227417/index.m3u8
睛彩篮球高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227478/index.m3u8
睛彩青少高清,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227420/index.m3u8
